mso:skiing.ski_area	mso:skiing.ski_area.lodges	mso:skiing.ski_lodge
mso:local.entity	mso:local.entity.preferred_webpage	mso:common.webpage
mso:commerce.kitchen_stove	productsearch:commerce.kitchen_stove.oven_cleaning_type	mso:type.string
mso:real_estate.estimated_price	mso:real_estate.estimated_price.house	mso:real_estate.house
mso:statistics.population_group	mso:statistics.population_group.land_telephone_lines	mso:measurement_unit.dated_float
mso:transportation.traffic_incident	mso:transportation.traffic_incident.start_longitude	mso:type.decimal
mso:tv.series_season	mso:tv.series_season.thetvdb_id	mso:type.string
mso:media_common.creative_work	mso:media_common.creative_work.rightsholder	mso:event.agent
mso:film.dubbing_performance	mso:film.dubbing_performance.character	mso:film.character
mso:organization.relationship	mso:organization.relationship.end_date	mso:type.datetime
mso:film.theater	mso:film.theater.child_price	mso:measurement_unit.money_value
mso:law.patent	mso:law.patent.date_published	mso:type.datetime
mso:measurement_unit.exposure_unit	mso:measurement_unit.exposure_unit.exposure_in_coulombs_per_kilogram	mso:type.decimal
mso:games.game	mso:games.game.publisher	mso:games.publisher
mso:metropolitan_transit.transit_system	mso:metropolitan_transit.transit_system.daily_riders	mso:measurement_unit.dated_integer
mso:chemistry.chemical_element	mso:chemistry.chemical_element.atomic_radius	mso:type.decimal
mso:religion.saint	mso:religion.saint.feast_day	mso:time.feast_day
mso:tv.recurring_segment	mso:tv.recurring_segment.recurring_appearance	mso:tv.recurring_tv_appearance
mso:media_common.content_rating	mso:media_common.content_rating.rating	mso:type.string
mso:commerce.water_heater	productsearch:commerce.water_heater.temperature_pressure_relief_valve	mso:type.string
mso:education.educational_institution	mso:education.educational_institution.phone_number	mso:common.phone_number
mso:religion.deity	mso:religion.deity.siblings	mso:religion.deity
mso:soccer.player_match_participation	mso:soccer.player_match_participation.player	mso:soccer.player
mso:statistics.infrastructure_group	mso:statistics.infrastructure_group.electric_power_consumption_per_capita	mso:measurement_unit.dated_float
mso:olympics.country_games_relationship	mso:olympics.country_games_relationship.number_of_male_athletes	mso:type.decimal
mso:medicine.drug_brand	mso:medicine.drug_brand.generic	mso:type.boolean
mso:measurement_unit.absorbed_dose_rate_unit	mso:measurement_unit.absorbed_dose_rate_unit.measurement_system	mso:measurement_unit.measurement_system
mso:aviation.aviation_waypoint	mso:aviation.aviation_waypoint.waypoint_type	mso:aviation.waypoint_type
mso:tv.producer	mso:tv.producer.tv_episodes_produced	mso:tv.producer_episode_credit
mso:rail.train	mso:rail.train.service_duration	mso:measurement_unit.time_interval
mso:language.linguistic_unit	mso:language.linguistic_unit.canonical_spelling	mso:type.string
mso:cricket.coach_tenure	mso:cricket.coach_tenure.end_date	mso:type.datetime
mso:tv.series_episode	mso:tv.series_episode.dance_performance	mso:tv.dance_episode_relationship
mso:event.disaster_affected_structure	mso:event.disaster_affected_structure.destroyed_by_disaster	mso:event.disaster
mso:sports.record	mso:sports.record.result_unit	mso:type.text
mso:location.location	mso:location.location.administrative_capital	mso:location.location
mso:conferences.conference	mso:conferences.conference.conference_venue	mso:architecture.venue
mso:real_estate.property_sales_history	mso:real_estate.property_sales_history.date	mso:type.datetime
mso:medicine.drug_formulation	mso:medicine.drug_formulation.reference_form	mso:medicine.manufactured_drug_form
mso:statistics.economic_group	mso:statistics.economic_group.diesel_price_liter	mso:measurement_unit.dated_money_value
mso:cricket.roster_keeping	mso:cricket.roster_keeping.stumpings	mso:type.decimal
mso:statistics.economic_group	mso:statistics.economic_group.interest_rate_spread	mso:measurement_unit.dated_percentage
mso:law.priority_claim	mso:law.priority_claim.country	mso:location.country
mso:commerce.brand	mso:commerce.brand.brand_colors	mso:commerce.brand_color
mso:education.college_readiness	mso:education.college_readiness.high_school	mso:education.school
mso:law.fugitive	mso:law.fugitive.capture_date	mso:type.datetime
mso:sports.athlete	mso:sports.athlete.sports_statistics	mso:sports.sports_statistics
mso:travel.transport_operator	mso:travel.transport_operator.travel_destinations_served	mso:travel.transportation
mso:music.album	mso:music.album.play_album	mso:event.play_audio_action
mso:internet.blog	mso:internet.blog.started	mso:type.datetime
mso:statistics.economic_group	mso:statistics.economic_group.total_tax_rate	mso:measurement_unit.dated_percentage
mso:measurement_unit.current_density_unit	mso:measurement_unit.current_density_unit.measurement_system	mso:measurement_unit.measurement_system
mso:time.event	mso:time.event.includes	mso:time.event
mso:statistics.labor_force_occupation	mso:statistics.labor_force_occupation.occupation	mso:type.text
mso:event.view_action	mso:event.view_action.showtime	mso:film.showtime
mso:medicine.drug	mso:medicine.drug.cas_number	mso:type.string
mso:common.text	mso:common.text.content	mso:type.text
mso:metropolitan_transit.transit_stop	mso:metropolitan_transit.transit_stop.transit_lines	mso:metropolitan_transit.transit_line
mso:royalty.chivalric_order_membership	mso:royalty.chivalric_order_membership.to	mso:type.datetime
mso:commerce.washing_machine	productsearch:commerce.washing_machine.dispensers	mso:type.string
mso:soccer.league	mso:soccer.league.governing_body	mso:soccer.fifa
mso:time.daylight_saving_time	mso:time.daylight_saving_time.time_exception	mso:measurement_unit.time_interval
mso:statistics.economic_group	mso:statistics.economic_group.merchandise_trade_rate	mso:measurement_unit.dated_float
mso:music.artist	mso:music.artist.similar_artist	mso:music.artist
mso:medicine.medical_trial	mso:medicine.medical_trial.clinicaltrials_identifier	mso:type.text
mso:organization.organization	mso:organization.organization.irs_name	mso:type.text
mso:music.concert_set_list	mso:music.concert_set_list.guest_artist	mso:music.artist
mso:statistics.education_group	mso:statistics.education_group.expenditure_primary_student_gdp_per_capita	mso:measurement_unit.dated_percentage
mso:time.holiday	mso:time.holiday.traditional_food	mso:food.food
mso:engineering.battery_cell_type	mso:engineering.battery_cell_type.batteries	mso:engineering.battery
mso:medicine.physician_certification	mso:medicine.physician_certification.specialty	mso:type.text
mso:commerce.sewing_machine	productsearch:commerce.sewing_machine.bobbin_type	mso:type.string
mso:statistics.education_group	mso:statistics.education_group.science_and_technical_journal_articles	mso:measurement_unit.dated_float
mso:travel.destination	mso:travel.destination.guidebook	mso:travel.guidebook
mso:travel.travel_requirements	mso:travel.travel_requirements.passport_validity_duration	mso:type.decimal
mso:commerce.kitchen_stove	productsearch:commerce.kitchen_stove.number_of_oven_racks	mso:type.string
mso:film.cut	mso:film.cut.type_of_film_cut	mso:film.cut_type
mso:tv.regular_personal_appearance	mso:tv.regular_personal_appearance.personality	mso:tv.personality
mso:statistics.infrastructure_group	mso:statistics.infrastructure_group.automobiles_per_1000	mso:measurement_unit.dated_float
mso:commerce.coffee_maker	productsearch:commerce.coffee_maker.capacity	mso:type.string
mso:soccer.referee	mso:soccer.referee.main_referee_for	mso:soccer.match
mso:media_common.subject	mso:media_common.subject.article	mso:book.article
mso:law.patent_examiner_relationship	mso:law.patent_examiner_relationship.person	mso:people.person
mso:medicine.physician_specialty	mso:medicine.physician_specialty.specialty	mso:medicine.medical_specialty
mso:time.chronology	mso:time.chronology.date	mso:type.datetime
mso:education.education	mso:education.education.minor	mso:education.field_of_study
mso:religion.religious_organization_leadership	mso:religion.religious_organization_leadership.predecessor	mso:religion.religious_leader
mso:time.recurring_event	mso:time.recurring_event.instance	mso:time.event
mso:projects.project	mso:projects.project.project_focus	mso:projects.project_focus
mso:tv.guest_role	mso:tv.guest_role.series_episode	mso:tv.series_episode
mso:tv.series_episode	mso:tv.series_episode.rating	mso:tv.rating
mso:sports.championship_event	mso:sports.championship_event.result	mso:type.text
mso:medicine.diagnostic_sign	mso:medicine.diagnostic_sign.parent_sign	mso:medicine.diagnostic_sign
mso:commerce.humidifier	productsearch:commerce.humidifier.run_time_per_fill	mso:type.string
mso:zoos.zoo	mso:zoos.zoo.exhibit	mso:zoos.exhibit
mso:organization.organization	mso:organization.organization.founder	mso:organization.founder
mso:meteorology.tropical_cyclone_season	mso:meteorology.tropical_cyclone_season.total_fatalities	mso:type.decimal
mso:protected_sites.natural_or_cultural_site_designation	mso:protected_sites.natural_or_cultural_site_designation.site_listing_category	mso:protected_sites.site_listing_category
mso:sports.sports_statistics	mso:sports.sports_statistics.event	mso:sports.sports_competition
mso:theater.production	mso:theater.production.date_opened	mso:type.datetime
mso:sports.tournament_event_competition	mso:sports.tournament_event_competition.competitors	mso:sports.competitor_competition_relationship
mso:commerce.barbecue_grill	productsearch:commerce.barbecue_grill.fire_view	mso:type.string
mso:sports.sports_competition	mso:sports.sports_competition.statistics	mso:sports.sports_statistics
mso:common.display_relationship	mso:common.display_relationship.number	mso:type.decimal
mso:statistics.infrastructure_group	mso:statistics.infrastructure_group.value_lost_from_electrical_outages	mso:measurement_unit.dated_percentage
mso:commerce.air_conditioner	productsearch:commerce.air_conditioner.filter_type	mso:type.string
mso:theater.production	mso:theater.production.number_of_performances	mso:type.decimal
mso:tv.theme_song	mso:tv.theme_song.theme_song_for	mso:tv.program
mso:sports.electronic_sports_player	mso:sports.electronic_sports_player.game_race	mso:type.text
mso:statistics.health_group	mso:statistics.health_group.dpt_immunization	mso:measurement_unit.dated_percentage
mso:language.human_language	mso:language.human_language.language_family	mso:language.family
mso:rail.locomotive_class	mso:rail.locomotive_class.train_heating	mso:type.text
mso:royalty.chivalric_order_founder	mso:royalty.chivalric_order_founder.orders_founded	mso:royalty.order_of_chivalry
mso:spaceflight.rocket_stage	mso:spaceflight.rocket_stage.fuel	mso:spaceflight.rocket_fuel
mso:transportation.highway_system	mso:transportation.highway_system.highways	mso:transportation.road
mso:commerce.dehumidifer	productsearch:commerce.dehumidifer.automatic_defrost	mso:type.string
mso:organization.organization	mso:organization.organization.number_locations	mso:type.decimal
mso:sports.world_record	mso:sports.world_record.event_competition	mso:sports.tournament_event_competition
mso:music.track	mso:music.track.subgenre	mso:music.genre
mso:tv.episode_segment	mso:tv.episode_segment.sequence	mso:tv.recurring_segment
mso:opera.opera	mso:opera.opera.librettist	mso:opera.librettist
mso:statistics.economic_group	mso:statistics.economic_group.brain_drain_percent	mso:measurement_unit.dated_percentage
mso:statistics.government_group	mso:statistics.government_group.time_prepare_taxes	mso:measurement_unit.dated_float
mso:tv.snl_five_timer	mso:tv.snl_five_timer.first_appearance	mso:type.datetime
mso:rail.locomotive_class	mso:rail.locomotive_class.parent_class	mso:rail.locomotive_class
mso:travel.travel_requirements	mso:travel.travel_requirements.vaccinations	mso:medicine.infectious_disease
mso:olympics.torch_relay	mso:olympics.torch_relay.age	mso:type.decimal
mso:sports.game	mso:sports.game.statistics	mso:sports.sports_statistics
mso:royalty.order_of_chivalry	mso:royalty.order_of_chivalry.office	mso:royalty.chivalric_office
mso:sports.game	mso:sports.game.venue	mso:sports.facility
mso:film.performance	mso:film.performance.film	mso:film.film
mso:music.composition	mso:music.composition.subject	mso:book.subject
mso:martial_arts.martial_art	mso:martial_arts.martial_art.category	mso:martial_arts.martial_art_category
mso:skiing.ski_area_ownership	mso:skiing.ski_area_ownership.owner	mso:skiing.ski_area_owner
mso:tv.recurring_tv_appearance	mso:tv.recurring_tv_appearance.actor	mso:event.agent
mso:tv.program	mso:tv.program.genre	mso:tv.genre
mso:wine.region	mso:wine.region.wine_styles	mso:food.wine_style
mso:ice_hockey.previous_roster_position	mso:ice_hockey.previous_roster_position.player	mso:ice_hockey.player
mso:medicine.vaccine	mso:medicine.vaccine.infectious_disease	mso:medicine.infectious_disease
mso:tv.crew_gig	mso:tv.crew_gig.episode	mso:tv.series_episode
mso:book.edition	mso:book.edition.isbn_13	mso:type.string
mso:commerce.microwave_oven	productsearch:commerce.microwave_oven.delay_start	mso:type.string
mso:soccer.goal	mso:soccer.goal.point_awarded_to	mso:soccer.team
mso:opera.producer	mso:opera.producer.operas_produced	mso:opera.production
mso:rail.locomotive_class	mso:rail.locomotive_class.cylinder_size	mso:type.text
mso:commerce.treadmill	productsearch:commerce.treadmill.motor_power	mso:type.string
mso:sports.competitor_competition_relationship	mso:sports.competitor_competition_relationship.round_out	mso:type.string
mso:medicine.differential_diagnosis	mso:medicine.differential_diagnosis.alternative_condition	mso:medicine.disease
mso:language.iso_639_coding	mso:language.iso_639_coding.family	mso:language.family
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.speed_unit	mso:measurement_unit.speed_unit
mso:medicine.manufactured_drug_form	mso:medicine.manufactured_drug_form.symbol_mark	mso:type.boolean
mso:media_common.media_genre	mso:media_common.media_genre.child_genres	mso:media_common.media_genre
mso:soccer.goal	mso:soccer.goal.minute	mso:type.decimal
mso:film.theater	mso:film.theater.adult_price	mso:measurement_unit.money_value
mso:soccer.team	mso:soccer.team.current_roster	mso:soccer.roster_position
mso:medicine.disease	mso:medicine.disease.medical_trial	mso:medicine.medical_trial
mso:soccer.player	mso:soccer.player.total_career_appearances	mso:type.decimal
mso:event.order_action	mso:event.order_action.restaurant_offering	mso:local.restaurant_offering
mso:tv.guest_role	mso:tv.guest_role.character	mso:tv.character
mso:religion.religious_organization	mso:religion.religious_organization.member_organizations	mso:religion.religious_organization
mso:time.holiday	mso:time.holiday.holiday_period	mso:time.holiday_period
mso:rail.rolling_stock_tenure	mso:rail.rolling_stock_tenure.to_date	mso:type.datetime
mso:people.ethnicity	mso:people.ethnicity.population	mso:measurement_unit.dated_integer
mso:sports.team_category_stats	mso:sports.team_category_stats.category	mso:type.text
mso:sports.auto_race_participation	mso:sports.auto_race_participation.position	mso:type.decimal
mso:statistics.population_group	mso:statistics.population_group.female_median_age	mso:measurement_unit.dated_float
mso:olympics.games	mso:olympics.games.season	mso:time.season
mso:sports.drafted_athlete	mso:sports.drafted_athlete.drafted	mso:sports.league_draft_pick
mso:fictional_universe.universe	mso:fictional_universe.universe.setting	mso:fictional_universe.setting
mso:commerce.clothes_dryer	productsearch:commerce.clothes_dryer.stackable_with_matching_unit	mso:type.string
mso:sports.auto_racer_roster_record	mso:sports.auto_racer_roster_record.last_win	mso:sports.auto_race
mso:sports.location_representation	mso:sports.location_representation.sport	mso:sports.sport
mso:event.agent	mso:event.agent.video_content	mso:media_common.video_offer
mso:statistics.housing_group	mso:statistics.housing_group.foreclosures	mso:measurement_unit.dated_float
mso:sports.league_participation	mso:sports.league_participation.team	mso:sports.team
mso:astronomy.planetographic_coordinate	mso:astronomy.planetographic_coordinate.elevation	mso:type.decimal
mso:military.service	mso:military.service.military_person	mso:military.person
mso:commerce.lawn_mower	productsearch:commerce.lawn_mower.start_type	mso:type.string
mso:transportation.bridge	mso:transportation.bridge.locale	mso:location.location
mso:military.combatant	mso:military.combatant.military_commanders	mso:military.command
mso:location.partially_contains_relationship	mso:location.partially_contains_relationship.containing_location	mso:location.location
mso:symbols.heraldic_charge_color	mso:symbols.heraldic_charge_color.coat_of_arms	mso:symbols.coat_of_arms
mso:type.property	mso:type.property.deprecation_info	mso:type.text
mso:olympics.athlete	mso:olympics.athlete.medals	mso:olympics.medal
mso:book.written_work	mso:book.written_work.atos_level	mso:type.decimal
mso:sports.athlete	mso:sports.athlete.coached_by	mso:sports.coach_athlete_relationship
mso:tv.producer_term	mso:tv.producer_term.producer_type	mso:tv.producer_type
mso:sports.team	mso:sports.team.color	mso:visual_art.color
mso:sports.league_draft_pick	mso:sports.league_draft_pick.school	mso:education.educational_institution
mso:media_common.video_offer	mso:media_common.video_offer.offer_type	mso:media_common.offer_type
mso:statistics.housing_group	mso:statistics.housing_group.median_mhoc_with_no_mortgage	mso:measurement_unit.dated_money_value
mso:law.legal_case	mso:law.legal_case.judge	mso:law.judge
mso:fictional_universe.kinship_relationship	mso:fictional_universe.kinship_relationship.subject	mso:fictional_universe.character
mso:event.agent	mso:event.agent.official_webpage	mso:type.uri
mso:common.related_internal_concept	mso:common.related_internal_concept.semantic_relation	mso:common.semantic_relation
mso:education.gender_enrollment	mso:education.gender_enrollment.institution	mso:education.educational_institution
mso:zoos.animal_captivity	mso:zoos.animal_captivity.exhibit	mso:zoos.exhibit
mso:cricket.team	mso:cricket.team.country	mso:location.sovereign
mso:sports.timeout	mso:sports.timeout.minute	mso:type.decimal
mso:skiing.ski_lodge	mso:skiing.ski_lodge.restaurants	mso:local.restaurant
mso:wine.wine	mso:wine.wine.wine_style	mso:food.wine_style
mso:statistics.education_group	mso:statistics.education_group.gross_tertiary_enrollment	mso:measurement_unit.dated_percentage
mso:visual_art.artwork	mso:visual_art.artwork.dimensions_meters	mso:measurement_unit.dimensions
mso:physics.subatomic_mass	mso:physics.subatomic_mass.uncertainty	mso:type.decimal
mso:location.sovereign	mso:location.sovereign.fips10_4	mso:type.string
mso:sports.sport	mso:sports.sport.position	mso:sports.sports_position
mso:people.deceased_person	mso:people.deceased_person.date_of_burial	mso:type.datetime
mso:sports.ranking	mso:sports.ranking.pro_athlete	mso:sports.pro_athlete
mso:sports.game_score	mso:sports.game_score.score	mso:type.decimal
mso:music.release_track	mso:music.release_track.popularity	mso:common.popularity
mso:ratings.review_sentiment	mso:ratings.review_sentiment.polarity	mso:type.text
mso:commerce.electric_generator	productsearch:commerce.electric_generator.muffler	mso:type.string
mso:medicine.medical_trial	mso:medicine.medical_trial.eligibile_genders	mso:people.gender
mso:travel.tourist_attraction	mso:travel.tourist_attraction.buy_ticket	mso:event.buy_action
mso:engineering.channel_access_method	mso:engineering.channel_access_method.parent_method	mso:engineering.channel_access_method
mso:sports.team	mso:sports.team.mascot	mso:sports.mascot
mso:american_football.player_punting_statistics	mso:american_football.player_punting_statistics.punts_inside_20	mso:type.decimal
mso:transportation.traffic_flow	mso:transportation.traffic_flow.road_segment	mso:transportation.road_segment
mso:soccer.league_participation	mso:soccer.league_participation.to	mso:soccer.league_season
mso:biology.pedigreed_animal	mso:biology.pedigreed_animal.breed	mso:biology.animal_breed
mso:statistics.military_group	mso:statistics.military_group.combat_deaths_per_thousand	mso:measurement_unit.dated_integer
mso:sports.team	mso:sports.team.coach	mso:sports.sports_team_coach_tenure
mso:book.periodical_issue	mso:book.periodical_issue.editor	mso:book.periodical_editor
mso:sports.sports_team_coach_tenure	mso:sports.sports_team_coach_tenure.position	mso:sports.coaching_position
mso:spaceflight.launch_site	mso:spaceflight.launch_site.missions_launched_here	mso:spaceflight.space_mission
mso:olympics.athlete	mso:olympics.athlete.country	mso:olympics.participating_country
mso:measurement_unit.dose_equivalence_unit	mso:measurement_unit.dose_equivalence_unit.measurement_system	mso:measurement_unit.measurement_system
mso:statistics.economic_group	mso:statistics.economic_group.personal_remittances_received	mso:measurement_unit.dated_money_value
mso:protected_sites.natural_or_cultural_site_listing	mso:protected_sites.natural_or_cultural_site_listing.cultural_affiliation	mso:type.text
mso:military.service	mso:military.service.from_date	mso:type.datetime
mso:spaceflight.satellite	mso:spaceflight.satellite.cospar_id	mso:type.text
mso:statistics.population_ethnicity	mso:statistics.population_ethnicity.population	mso:measurement_unit.dated_integer
mso:organization.organization	mso:organization.organization.headquarters	mso:location.address
mso:statistics.education_group	mso:statistics.education_group.female_primary_leval_repreaters	mso:measurement_unit.dated_percentage
mso:music.artist	mso:music.artist.origin	mso:location.location
mso:organization.non_profit_registration	mso:organization.non_profit_registration.registered_as	mso:organization.non_profit_designation
mso:test.r	mso:test.r.a	mso:test.a
mso:cricket.roster_bowling	mso:cricket.roster_bowling.wickets	mso:type.decimal
mso:measurement_unit.heat_capacity_unit	mso:measurement_unit.heat_capacity_unit.capacity_in_joules_per_kelvin	mso:type.decimal
mso:medicine.manufactured_drug_form	mso:medicine.manufactured_drug_form.therapeutic_equivalents	mso:medicine.drug_therapeutic_equivalence_relationship
mso:commerce.dishwasher	productsearch:commerce.dishwasher.cutlery_holder	mso:type.string
mso:statistics.economic_group	mso:statistics.economic_group.market_cap_of_listed_companies_percent_gdp	mso:measurement_unit.dated_percentage
mso:theater.theater	mso:theater.theater.theatrical_productions_staged_here	mso:theater.production
mso:sports.auto_racer_statistics	mso:sports.auto_racer_statistics.poles	mso:type.decimal
mso:real_estate.house	mso:real_estate.house.price	mso:measurement_unit.dated_money_value
mso:religion.religion	mso:religion.religion.holiday	mso:time.holiday
mso:medicine.physician_business_relationship	mso:medicine.physician_business_relationship.business	mso:local.entity
mso:real_estate.house	mso:real_estate.house.lot_size	mso:type.decimal
mso:sports.professional_sports_team	mso:sports.professional_sports_team.team_owner	mso:sports.team_owner
mso:statistics.population_group	mso:statistics.population_group.rural_population	mso:measurement_unit.dated_float
mso:film.cut	mso:film.cut.note	mso:type.text
mso:sports.sports_tournament_round	mso:sports.sports_tournament_round.advancing_team	mso:sports.team
mso:commerce.stationary_bicycle	productsearch:commerce.stationary_bicycle.water_bottle_holder	mso:type.string
mso:commerce.water_heater	productsearch:commerce.water_heater.minimum_temperature	mso:type.string
mso:engineering.mains_power	mso:engineering.mains_power.compatible_plugs	mso:engineering.power_plug_standard_type
mso:skiing.ski_area	mso:skiing.ski_area.number_of_runs	mso:type.decimal
mso:internet.author	mso:internet.author.related_topic	mso:internet.author_related_topic
mso:media_common.audio_offer	mso:media_common.audio_offer.path	mso:type.uri
mso:martial_arts.certification	mso:martial_arts.certification.qualification	mso:martial_arts.qualification
mso:tv.network	mso:tv.network.tv_channel	mso:broadcast.tv_channel
mso:statistics.economic_group	mso:statistics.economic_group.rural_poverty_gap_national_lines	mso:measurement_unit.dated_percentage
mso:event.upload_action	mso:event.upload_action.source	mso:computer.computer
mso:law.patent	mso:law.patent.prior_publication_date	mso:type.datetime
mso:protected_sites.site_listing_category	mso:protected_sites.site_listing_category.supercategory	mso:protected_sites.site_listing_category
mso:soccer.match	mso:soccer.match.location	mso:soccer.pitch
mso:education.college_readiness	mso:education.college_readiness.year	mso:type.decimal
mso:test.a	mso:test.a.b	mso:test.b
mso:measurement_unit.money_value	mso:measurement_unit.money_value.currency	mso:finance.currency
mso:statistics.health_group	mso:statistics.health_group.female_smoking_rate	mso:measurement_unit.dated_float
mso:cricket.captain_tenure	mso:cricket.captain_tenure.test_stats	mso:cricket.team_stats
mso:tv.competition_season	mso:tv.competition_season.winner	mso:event.agent
mso:travel.transport_terminus	mso:travel.transport_terminus.travel_destinations_served	mso:travel.transportation
mso:commerce.juicer	productsearch:commerce.juicer.product_features	mso:type.string
mso:government.appointment	mso:government.appointment.appointed_role	mso:government.appointed_role
mso:tv.series_episode	mso:tv.series_episode.production_number	mso:type.string
mso:transportation.port	mso:transportation.port.annual_tonnage	mso:measurement_unit.dated_float
mso:spaceflight.spacecraft	mso:spaceflight.spacecraft.dimensions	mso:measurement_unit.dimensions
mso:sports.auto_racer_statistics	mso:sports.auto_racer_statistics.career_races	mso:type.decimal
mso:statistics.health_group	mso:statistics.health_group.births_attended_by_skilled_staff	mso:measurement_unit.dated_percentage
mso:measurement_unit.dimensions	mso:measurement_unit.dimensions.length_meters	mso:type.decimal
mso:statistics.economic_group	mso:statistics.economic_group.secondary_income	mso:measurement_unit.dated_money_value
mso:tv.comedy_group_membership	mso:tv.comedy_group_membership.member	mso:people.person
mso:film.film	mso:film.film.casting_director	mso:film.casting_director
mso:statistics.health_group	mso:statistics.health_group.male_youth_hiv_rate	mso:measurement_unit.dated_percentage
mso:statistics.housing_group	mso:statistics.housing_group.ofheo_price_change	mso:measurement_unit.dated_float
mso:soccer.team_management_tenure	mso:soccer.team_management_tenure.to	mso:type.datetime
mso:soccer.roster_position	mso:soccer.roster_position.total_goals	mso:type.decimal
mso:sports.season	mso:sports.season.total_goals	mso:type.decimal
mso:location.sovereign	mso:location.sovereign.iso3166_1_shortname	mso:type.string
mso:people.person	mso:people.person.country_of_birth	mso:location.country
mso:tv.recurring_tv_appearance	mso:tv.recurring_tv_appearance.episode	mso:tv.series_episode
mso:religion.religion	mso:religion.religion.notable_figures	mso:people.person
mso:library.research_collection	mso:library.research_collection.extent	mso:library.collection_extent
mso:media_common.content_rating	mso:media_common.content_rating.country	mso:location.sovereign
mso:food.food	mso:food.food.energy	mso:type.decimal
mso:meteorology.forecast_zone	mso:meteorology.forecast_zone.meteorological_service	mso:meteorology.meteorological_service
mso:commerce.vacuum_cleaner	productsearch:commerce.vacuum_cleaner.headlights	mso:type.string
mso:statistics.population_by_demographics	mso:statistics.population_by_demographics.minimum_age	mso:type.decimal
mso:meteorology.weather_forecast	mso:meteorology.weather_forecast.alert	mso:meteorology.weather_alert
mso:people.profession	mso:people.profession.median_pay_yearly	mso:measurement_unit.dated_money_value
mso:tv.program	mso:tv.program.episode_running_time	mso:type.decimal
mso:tv.regular_tv_appearance	mso:tv.regular_tv_appearance.actor	mso:tv.actor
mso:tv.program	mso:tv.program.tvrage_id	mso:type.string
mso:food.brewery	mso:food.brewery.beers_produced	mso:food.beer
mso:sports.tournament_event_competitor	mso:sports.tournament_event_competitor.world_record	mso:sports.world_record
mso:theater.production	mso:theater.production.producing_company	mso:theater.company
mso:event.disaster_survivor	mso:event.disaster_survivor.survived_disasters	mso:event.disaster
mso:skiing.terrain_park_breakdown	mso:skiing.terrain_park_breakdown.number_jumps	mso:type.decimal
mso:statistics.population_group	mso:statistics.population_group.female_population_under_21	mso:measurement_unit.dated_integer
mso:sports.exercise_circuit_component	mso:sports.exercise_circuit_component.number_of_repetitions	mso:type.decimal
mso:soccer.player_substitution	mso:soccer.player_substitution.on	mso:soccer.player
mso:event.ticket	mso:event.ticket.offer_text	mso:type.text
mso:cvg.computer_videogame	mso:cvg.computer_videogame.gameplay_mode	mso:cvg.gameplay_mode
mso:film.showtime	mso:film.showtime.show_date	mso:type.datetime
mso:statistics.spectacle_prediction	mso:statistics.spectacle_prediction.rank	mso:measurement_unit.dated_float
mso:commerce.lawn_mower	productsearch:commerce.lawn_mower.number_of_cutting_positions	mso:type.string
mso:physics.particle	mso:physics.particle.magnetic_moment	mso:physics.magnetic_moment
mso:measurement_unit.area_unit	mso:measurement_unit.area_unit.measurement_system	mso:measurement_unit.measurement_system
mso:music.composition	mso:music.composition.date_of_first_performance	mso:type.datetime
mso:travel.guided_tour	mso:travel.guided_tour.book_tour	mso:event.reserve_action
mso:sports.volleyball_player	mso:sports.volleyball_player.longest_spike	mso:type.decimal
mso:travel.travel	mso:travel.travel.trip_type	mso:type.string
mso:cvg.crosshair_settings	mso:cvg.crosshair_settings.style	mso:type.text
mso:visual_art.artwork	mso:visual_art.artwork.editions	mso:visual_art.artwork
mso:commerce.clothes_iron	productsearch:commerce.clothes_iron.cord_length	mso:type.string
mso:tv.segment_guest_appearance	mso:tv.segment_guest_appearance.segment	mso:tv.episode_segment
mso:cvg.game_performance	mso:cvg.game_performance.computer_game_performance_type	mso:cvg.computer_game_performance_type
mso:statistics.health_group	mso:statistics.health_group.male_life_expectancy_birth	mso:measurement_unit.dated_float
mso:music.album	mso:music.album.engineer	mso:music.engineer
mso:media_common.video_commodity	mso:media_common.video_commodity.offer	mso:media_common.video_offer
mso:soccer.player	mso:soccer.player.senior_career_roster	mso:sports.sports_team_roster
mso:location.location	mso:location.location.request_taxi	mso:event.request_object_action
mso:time.geologic_time_period	mso:time.geologic_time_period.began	mso:time.geologic_time_period_uncertainty
mso:food.beer_production	mso:food.beer_production.date	mso:type.datetime
mso:statistics.energy_production_type	mso:statistics.energy_production_type.energy_type	mso:engineering.energy_type
mso:theater.actor	mso:theater.actor.theater_roles	mso:theater.role
mso:meteorology.weather_forecast	mso:meteorology.weather_forecast.dewpoint	mso:type.decimal
mso:statistics.environment_group	mso:statistics.environment_group.hfc_pfc_sf6_greenhouse_gas_emissions	mso:measurement_unit.dated_float
mso:statistics.government_group	mso:statistics.government_group.direct_nonresident_trademark_applications	mso:measurement_unit.dated_float
mso:statistics.infrastructure_group	mso:statistics.infrastructure_group.domestic_freshwater_withdrawal	mso:measurement_unit.dated_percentage
mso:film.theater	mso:film.theater.number_of_screens	mso:type.decimal
mso:statistics.population_group	mso:statistics.population_group.female_unemployment_percentage	mso:measurement_unit.dated_percentage
mso:film.film_song_relationship	mso:film.film_song_relationship.performer	mso:music.artist
mso:organization.organization	mso:organization.organization.previous_names	mso:business.company_name_change
